year,city,price_per_sqft
2003,BURIEN,152.65004937754628
2004,BURIEN,167.5871948744952
2005,BURIEN,190.7708462119605
2006,BURIEN,220.574993339666
2007,BURIEN,238.6488406960224
2008,BURIEN,212.84396285800202
2009,BURIEN,186.72518557859863
2010,BURIEN,171.33223716451792
2011,BURIEN,152.924462344472
2012,BURIEN,163.41175069341685
2013,BURIEN,179.627788201603
2014,BURIEN,184.91917666309573
2015,BURIEN,214.88373426539079
2016,BURIEN,241.6499498532621
2017,BURIEN,276.486031034937
2018,BURIEN,303.798705199392
2019,BURIEN,324.9752609599736
2020,BURIEN,350.100251654829
2021,BURIEN,407.92793842228343
2022,BURIEN,451.83076508589414
2023,BURIEN,439.2048334049108
2000,CARNATION,133.70096376391993
2001,CARNATION,147.19651369807906
2002,CARNATION,159.01414416682766
2003,CARNATION,156.24791170542073
2004,CARNATION,163.775882893677
2005,CARNATION,195.32020690769613
2006,CARNATION,235.3155508721181
2007,CARNATION,236.80240351596305
2008,CARNATION,215.33573982520278
2009,CARNATION,192.41404821251837
2010,CARNATION,203.74535089656106
2011,CARNATION,151.42091469079168
2012,CARNATION,153.8929197194469
2013,CARNATION,175.68058313442984
2014,CARNATION,243.65459898200658
2015,CARNATION,253.47761802381652
2016,CARNATION,245.92960012994777
2017,CARNATION,257.0554233086177
2018,CARNATION,290.9700551106323
2019,CARNATION,304.78684509103385
2020,CARNATION,334.3753595443964
2021,CARNATION,385.9943506442781
2022,CARNATION,459.94030424116414
2023,CARNATION,401.7405005207779
2000,CLYDE HILL,193.33266309583595
2001,CLYDE HILL,230.42250618424484
2002,CLYDE HILL,239.6009755963704
2003,CLYDE HILL,319.54407904612594
2004,CLYDE HILL,271.3429622591268
2005,CLYDE HILL,376.48281365918297
2006,CLYDE HILL,439.5873978301481
2007,CLYDE HILL,531.0809224884616
2008,CLYDE HILL,692.3034425822406
2009,CLYDE HILL,723.3090894750558
2010,CLYDE HILL,425.20717550622385
2011,CLYDE HILL,521.1082760132551
2012,CLYDE HILL,434.0955674308812
2013,CLYDE HILL,657.8010569095331
2014,CLYDE HILL,612.8502383168349
2015,CLYDE HILL,779.9776759019252
2016,CLYDE HILL,790.5580606512243
2017,CLYDE HILL,1098.3787959103904
2018,CLYDE HILL,1130.5866434558259
2019,CLYDE HILL,944.4529158755932
2020,CLYDE HILL,1104.2785436490021
2021,CLYDE HILL,1619.780481357676
2022,CLYDE HILL,1920.6213523048852
2023,CLYDE HILL,1607.3741211307513
2000,COVINGTON,117.10635933279133
2001,COVINGTON,119.70337941641908
2002,COVINGTON,121.28655992366593
2003,COVINGTON,126.52881579494216
2004,COVINGTON,134.63489247032285
2005,COVINGTON,157.66915976671416
2006,COVINGTON,189.4199418456944
2007,COVINGTON,194.7280873580057
2008,COVINGTON,171.94398030244557
2009,COVINGTON,151.03261751769196
2010,COVINGTON,141.8400750860565
2011,COVINGTON,125.96403311931113
2012,COVINGTON,127.75186730374418
2013,COVINGTON,141.11626506669236
2014,COVINGTON,151.49668404774675
2015,COVINGTON,172.14126869833453
2016,COVINGTON,186.7406661317307
2017,COVINGTON,209.18767303601547
2018,COVINGTON,229.0660527348697
2019,COVINGTON,233.38891298701745
2020,COVINGTON,260.5468363229767
2021,COVINGTON,320.6778716676963
2022,COVINGTON,348.2622604554409
2023,COVINGTON,346.9554331809271
2000,DES MOINES,119.77069668773753
2001,DES MOINES,126.51626502447684
2002,DES MOINES,133.50124223709798
2003,DES MOINES,141.65360181429818
2004,DES MOINES,149.46794160546557
2005,DES MOINES,174.60447664703375
2006,DES MOINES,216.32046770512167
2007,DES MOINES,229.2772769889706
2008,DES MOINES,200.31560168853204
2009,DES MOINES,177.06819786090423
2010,DES MOINES,163.33964128150097
2011,DES MOINES,151.60861370865436
2012,DES MOINES,132.5572026706303
2013,DES MOINES,158.57755547816524
2014,DES MOINES,169.92895364250816
2015,DES MOINES,191.7138250564547
2016,DES MOINES,213.76621385415467
2017,DES MOINES,249.22063637041066
2018,DES MOINES,258.0897370143021
2019,DES MOINES,266.55611840582424
2020,DES MOINES,280.6643199206984
2021,DES MOINES,353.25753968078726
2022,DES MOINES,394.67880253759654
2023,DES MOINES,387.0020992085478
2000,DUVALL,130.1618980599904
2001,DUVALL,136.0297288516627
2002,DUVALL,139.95442663946378
2003,DUVALL,146.51151752664762
2004,DUVALL,159.0169481372131
2005,DUVALL,176.27937125161787
2006,DUVALL,206.9769173439193
2007,DUVALL,225.66876819295436
2008,DUVALL,204.92760778953092
2009,DUVALL,186.37996596459868
